ComparatorId,Number of Batches,Offset,batch size,timePeriod,avg time
2,10,0,5,30,127.3
2,10,0,10,30,313.8
2,10,0,15,30,517.6666667
2,10,0,20,30,812.6875
2,10,50,5,30,147.35
2,10,50,10,30,348.15
2,10,50,15,30,554.7166667
2,10,50,20,30,802.9875
2,10,0,5,60,77.6
2,10,0,10,60,242.675
2,10,0,15,60,441.05
2,10,0,20,60,740.3375
2,10,50,5,60,98.8
2,10,50,10,60,281.025
2,10,50,15,60,486.3333333
2,10,50,20,60,731.3625
2,10,0,5,90,67.2
2,10,0,10,90,186.875
2,10,0,15,90,370.1833333
2,10,0,20,90,659.5375
2,10,50,5,90,66.35
2,10,50,10,90,221.9
2,10,50,15,90,407.9166667
2,10,50,20,90,654.8625
2,10,0,5,120,65.35
2,10,0,10,120,130.425
2,10,0,15,120,300.25
2,10,0,20,120,579.8125
2,10,50,5,120,64
2,10,50,10,120,181.025
2,10,50,15,120,339.2666667
2,10,50,20,120,576.0125
2,10,0,5,150,65.35
2,10,0,10,150,92.075
2,10,0,15,150,246.8833333
2,10,0,20,150,494.475
2,10,50,5,150,63.9
2,10,50,10,150,127.2
2,10,50,15,150,286.35
2,10,50,20,150,496.5125
2,10,0,5,180,65.35
2,10,0,10,180,83.825
2,10,0,15,180,194.4666667
2,10,0,20,180,440.1
2,10,50,5,180,63.9
2,10,50,10,180,94.925
2,10,50,15,180,233.0833333
2,10,50,20,180,443.7125
2,10,0,5,210,65.35
2,10,0,10,210,83.05
2,10,0,15,210,143.7166667
2,10,0,20,210,375.075
2,10,50,5,210,63.9
2,10,50,10,210,89.575
2,10,50,15,210,174.2
2,10,50,20,210,379.925
4,10,0,5,30,128.75
4,10,0,10,30,316.75
4,10,0,15,30,524.5166667
4,10,0,20,30,823.6625
4,10,50,5,30,148.45
4,10,50,10,30,351.275
4,10,50,15,30,561.3166667
4,10,50,20,30,815.4625
4,10,0,5,60,76.75
4,10,0,10,60,244.95
4,10,0,15,60,442.75
4,10,0,20,60,744.3125
4,10,50,5,60,98.8
4,10,50,10,60,282.225
4,10,50,15,60,487.9833333
4,10,50,20,60,736
4,10,0,5,90,66.3
4,10,0,10,90,188
4,10,0,15,90,371.9833333
4,10,0,20,90,663.025
4,10,50,5,90,66.45
4,10,50,10,90,222.275
4,10,50,15,90,409.7
4,10,50,20,90,658.1625
4,10,0,5,120,64.45
4,10,0,10,120,130.7
4,10,0,15,120,302.1666667
4,10,0,20,120,584.1
4,10,50,5,120,64
4,10,50,10,120,181.325
4,10,50,15,120,341.4166667
4,10,50,20,120,579.4125
4,10,0,5,150,64.35
4,10,0,10,150,92.475
4,10,0,15,150,248.2833333
4,10,0,20,150,497.525
4,10,50,5,150,63.9
4,10,50,10,150,127.1
4,10,50,15,150,288.95
4,10,50,20,150,498.425
4,10,0,5,180,64.4
4,10,0,10,180,84.125
4,10,0,15,180,195.7666667
4,10,0,20,180,443.925
4,10,50,5,180,63.9
4,10,50,10,180,94.9
4,10,50,15,180,234.8
4,10,50,20,180,446.9375
4,10,0,5,210,64.4
4,10,0,10,210,83.575
4,10,0,15,210,145.8333333
4,10,0,20,210,378.225
4,10,50,5,210,63.95
4,10,50,10,210,90.15
4,10,50,15,210,177
4,10,50,20,210,382
