ComparatorId,Number of Batches,Offset,batch size,timePeriod
1,10,0,5,120
2,10,0,5,120
3,10,0,5,120
4,10,0,5,120
1,10,0,10,120
2,10,0,10,120
3,10,0,10,120
4,10,0,10,120
1,10,0,10,60
2,10,0,10,60
3,10,0,10,60
4,10,0,10,60
1,40,0,5,30
2,40,0,5,30
3,40,0,5,30
4,40,0,5,30
1,40,0,5,60
2,40,0,5,60
3,40,0,5,60
4,40,0,5,60
1,20,0,10,60
2,20,0,10,60
3,20,0,10,60
4,20,0,10,60
1,20,0,10,120
2,20,0,10,120
3,20,0,10,120
4,20,0,10,120
1,20,0,10,120
2,20,0,10,120
3,20,0,10,120
4,20,0,10,120
1,10,50,5,120
2,10,50,5,120
3,10,50,5,120
4,10,50,5,120
1,10,50,10,120
2,10,50,10,120
3,10,50,10,120
4,10,50,10,120
1,10,50,10,60
2,10,50,10,60
3,10,50,10,60
4,10,50,10,60
1,40,50,5,30
2,40,50,5,30
3,40,50,5,30
4,40,50,5,30
1,40,50,5,60
2,40,50,5,60
3,40,50,5,60
4,40,50,5,60
1,20,50,10,60
2,20,50,10,60
3,20,50,10,60
4,20,50,10,60
1,20,50,10,120
2,20,50,10,120
3,20,50,10,120
4,20,50,10,120
1,20,50,10,120
2,20,50,10,120
3,20,50,10,120
4,20,50,10,120
