ComparatorId,Number of Batches,Offset,batch size,timePeriod
2,10,0,10,30,436.275
2,10,0,20,30,869.4375
2,10,0,30,30,1455.5416666666667
2,10,0,40,30,1922.375
2,10,50,10,30,406.9
2,10,50,20,30,837.2
2,10,50,30,30,1401.3916666666667
2,10,50,40,30,1868.00625
2,10,0,10,60,356.3
2,10,0,20,60,796.175
2,10,0,30,60,1381.85
2,10,0,40,60,1859.56875
2,10,50,10,60,331.075
2,10,50,20,60,763.425
2,10,50,30,60,1329.4416666666666
2,10,50,40,60,1805.4375
2,10,0,10,90,275.975
2,10,0,20,90,724.3375
2,10,0,30,90,1296.4416666666666
2,10,0,40,90,1772.11875
2,10,50,10,90,256.2
2,10,50,20,90,680.2375
2,10,50,30,90,1236.9833333333333
2,10,50,40,90,1714.1625
2,10,0,10,120,216.325
2,10,0,20,120,628.3875
2,10,0,30,120,1212.1583333333333
2,10,0,40,120,1680.1875
2,10,50,10,120,201.475
2,10,50,20,120,600.6625
2,10,50,30,120,1153.0083333333334
2,10,50,40,120,1631.75
2,10,0,10,150,159.025
2,10,0,20,150,555.2
2,10,0,30,150,1122.3916666666667
2,10,0,40,150,1590.98125
2,10,50,10,150,133.95
2,10,50,20,150,516.8125
2,10,50,30,150,1066.625
2,10,50,40,150,1538.95625
2,10,0,10,180,124.75
2,10,0,20,180,479.2625
2,10,0,30,180,1040.0666666666666
2,10,0,40,180,1502.65
2,10,50,10,180,100.925
2,10,50,20,180,460.675
2,10,50,30,180,980.7833333333333
2,10,50,40,180,1454.60625
2,10,0,10,210,114.075
2,10,0,20,210,433.9375
2,10,0,30,210,953.975
2,10,0,40,210,1387.025
2,10,50,10,210,96.275
2,10,50,20,210,407.8375
2,10,50,30,210,892.3916666666667
2,10,50,40,210,1366.525
4,10,0,10,30,442.8
4,10,0,20,30,884.0625
4,10,0,30,30,1474.5166666666667
4,10,0,40,30,1952.8
4,10,50,10,30,410.675
4,10,50,20,30,850.3
4,10,50,30,30,1419.3833333333334
4,10,50,40,30,1898.35
4,10,0,10,60,358.225
4,10,0,20,60,801.125
4,10,0,30,60,1390.7833333333333
4,10,0,40,60,1871.75625
4,10,50,10,60,333.05
4,10,50,20,60,765.025
4,10,50,30,60,1336.7166666666667
4,10,50,40,60,1816.35
4,10,0,10,90,276.85
4,10,0,20,90,728.3
4,10,0,30,90,1302.2
4,10,0,40,90,1784.26875
4,10,50,10,90,257.075
4,10,50,20,90,683.4375
4,10,50,30,90,1244.1
4,10,50,40,90,1722.44375
4,10,0,10,120,217.0
4,10,0,20,120,632.2125
4,10,0,30,120,1219.125
4,10,0,40,120,1690.575
4,10,50,10,120,202.225
4,10,50,20,120,603.9375
4,10,50,30,120,1158.65
4,10,50,40,120,1640.0375
4,10,0,10,150,160.675
4,10,0,20,150,558.5125
4,10,0,30,150,1128.825
4,10,0,40,150,1602.15625
4,10,50,10,150,134.75
4,10,50,20,150,520.3375
4,10,50,30,150,1072.0333333333333
4,10,50,40,150,1546.1625
4,10,0,10,180,126.45
4,10,0,20,180,483.1375
4,10,0,30,180,1046.3583333333333
4,10,0,40,180,1511.55
4,10,50,10,180,101.625
4,10,50,20,180,464.175
4,10,50,30,180,985.1083333333333
4,10,50,40,180,1463.45
4,10,0,10,210,115.1
4,10,0,20,210,436.9125
4,10,0,30,210,960.1916666666667
4,10,0,40,210,1398.83125
4,10,50,10,210,97.625
4,10,50,20,210,410.9625
4,10,50,30,210,897.225
4,10,50,40,210,1373.53125
